accession,title,organism,technology,geo_study_type,gpl_accessions,sample_count,sample_count_confidence,score,score_reason,sle_relevance,tissue,case_control_hint,treatment_hint,clinical_info_hint,source_journals,source_journal_impact_factor,source_journal_impact_factor_year,gse_reuse_total_count,publication_date,last_update_date,url,search_date,manual_review,notes
GSE118254,Transcriptome profiles of B cell subsets from healthy and SLE subjects,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL16791,SLE=0; control=0; other/unclear=83; total=83,low,0,human; total samples >=20; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched SLE in disease context,B cell,yes,no,no,Nature immunology,26.5,2025,8,2019/05/17,May 14 2021,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE118254,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification; manual inclusion override: clear SLE B-cell bulk RNA-seq; Series uses subjects rather than patient wording
GSE11909,A modular analysis framework for the discovery of biomarkers of Systemic Lupus Erythematosus,Homo sapiens,expression array,Expression profiling by array,GPL96; GPL97,SLE=0; control=0; other/unclear=175; total=175,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,PBMC,no,yes,yes,Immunity,30.6,2025,12,2008/08/11,Aug 10 2018,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE11909,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE121239,Longitudinal Stratification of Gene Expression Data Reveals Three SLE Groups of Disease Activity Progression.,Homo sapiens,expression array,Expression profiling by array,GPL13158,SLE=0; control=0; other/unclear=312; total=312,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched SLE in disease context,PBMC; neutrophil,no,yes,yes,"BMC medical genomics; Arthritis & rheumatology (Hoboken, N.J.)",10.9,2024,36,2018/10/15,Feb 15 2019,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE121239,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE122459,SLE PBMC RNA-seq,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL16791; GPL18573,SLE=0; control=0; other/unclear=26; total=26,low,0,human; total samples >=20; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,PBMC,yes,no,no,Proceedings of the National Academy of Sciences of the United States of America,9.5,2025,15,2018/11/14,Mar 27 2019,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE122459,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE127797,The Molecular Phenotype of Lupus Nephritis Histological Lesions,Homo sapiens,expression array,Expression profiling by array,GPL24299,SLE=0; control=0; other/unclear=88; total=88,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Lupus Nephritis,kidney,no,yes,yes,Journal of clinical medicine,3.3,2025,14,2019/10/29,Oct 31 2019,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE127797,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE138458,Adults with Systemic Lupus Exhibit Distinct Molecular Phenotypes Associated with Clinical Disease Activity,Homo sapiens,expression array,Expression profiling by array,GPL10558,SLE=0; control=0; other/unclear=336; total=336,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,kidney; B cell; T cell; monocyte; neutrophil,yes,yes,yes,EClinicalMedicine,12.8,2025,12,2020/03/16,Feb 24 2021,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE138458,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE13887,Activation of mTOR controls the loss of TCRζ in lupus T cells through HRES-1/Rab4-regulated lysosomal degradation,Homo sapiens,expression array,Expression profiling by array,GPL570,SLE=0; control=0; other/unclear=27; total=27,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched SLE in disease context,T cell,yes,no,yes,"Journal of immunology (Baltimore, Md. : 1950)",3.4,2024,17,2009/02/20,Mar 25 2019,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE13887,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE139350,Integrated Transcriptome Profiling Revealed That Elevated Long Non- Coding RNA-AC007278.2 Expression Repressed CCR7 Transcription in Systemic Lupus Erythematosus,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL20795,SLE=0; control=0; other/unclear=8; total=8,low,0,human; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,blood; PBMC; T cell,yes,yes,yes,Frontiers in immunology,7.0,2025,0,2021/06/08,Jul 08 2021,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE139350,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE139358,"Transcriptomic, epigenetic and functional analyses implicate neutrophil diversity in the pathogenesis of systemic lupus erythematosus [RNA-seq]",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL21290,SLE=0; control=0; other/unclear=51; total=51,low,0,human; total samples >=20; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,PBMC; neutrophil,yes,no,no,Proceedings of the National Academy of Sciences of the United States of America,9.5,2025,2,2019/11/22,Oct 12 2022,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE139358,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE148601,mRNA expression analysis of several cell subset from peripheral blood of SLE patient and Healthy Control,Homo sapiens,expression array,Expression profiling by array,GPL17077,SLE=0; control=0; other/unclear=226; total=226,low,0,human; total samples >=20; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched SLE in disease context,blood; PBMC; monocyte,yes,no,no,Arthritis research & therapy,5.4,2025,4,2022/09/26,Feb 09 2026,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE148601,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE148810,Gene expression of skin biopsie samples from juvenile myositis (JM) and childhood-onset lupus (cSLE).,Homo sapiens,expression array,Expression profiling by array,GPL28426,SLE=0; control=0; other/unclear=30; total=30,low,0,human; total samples >=20; SLE/control groups unclear; no SLE samples parsed,matched SLE in disease context,,yes,no,no,"Arthritis & rheumatology (Hoboken, N.J.)",10.9,2024,5,2020/12/31,Jan 04 2021,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE148810,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE149050,Multi-cell type gene co-expression network analysis reveals coordinated interferon response and cross cell-type correlations in systemic lupus erythematosus,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL16791,SLE=0; control=0; other/unclear=288; total=288,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed; mixed disease cohort unclear,matched Systemic Lupus Erythematosus,blood; B cell; T cell; monocyte,yes,yes,yes,Genome research,6.3,2025,15,2021/02/01,May 03 2021,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE149050,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE154851,Investigation Of Genes Associated With Atherosclerosis In Patients With Systemic Lupus Erythematosus,Homo sapiens,expression array,Expression profiling by array,GPL16699,SLE=0; control=0; other/unclear=70; total=70,low,0,human; total samples >=20; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,,yes,no,no,Archives of rheumatology,1.3,2025,17,2020/07/22,Sep 20 2021,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE154851,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE164457,Ethnicity-specific transcriptomic variation in immune cells and correlation with disease activity in systemic lupus erythematosus,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL20301,SLE=0; control=0; other/unclear=480; total=480,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,blood; PBMC; B cell; T cell; monocyte,no,no,yes,Communications biology; bioRxiv : the preprint server for biology,5.8,2025,10,2021/03/04,Jun 23 2025,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE164457,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE22098,Whole blood transcriptional profiles of patients with active tuberculosis (TB) and other inflammatory and infectious diseases,Homo sapiens,expression array,Expression profiling by array,GPL6947,SLE=0; control=0; other/unclear=274; total=274,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,blood,yes,yes,yes,Nature,56.1,2025,21,2010/08/11,Aug 16 2018,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE22098,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE224705,Defining molecular and cellular landscape behind non-response to Lupus Nephritis drugs,Homo sapiens,expression array,Expression profiling by array,GPL13158,SLE=0; control=0; other/unclear=448; total=448,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,blood; kidney,yes,yes,yes,Research square,,,3,2023/05/01,Jul 03 2024,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE224705,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification; manual inclusion override: this GSE is an expression-array cohort; single-cell data were external supporting analysis
GSE228066,Transcriptomics reveals novel molecular features of SLE severity,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL28038,SLE=0; control=0; other/unclear=45; total=45,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,blood,no,no,yes,Frontiers in genetics,3.0,2025,2,2024/06/20,Jun 20 2024,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE228066,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE24706,Gene Expression profiling of human PBMCs with different ANA titer,Homo sapiens,expression array,Expression profiling by array,GPL6884,SLE=0; control=0; other/unclear=48; total=48,low,0,human; total samples >=20; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched SLE in disease context,PBMC,yes,no,no,Arthritis research & therapy,5.4,2025,6,2010/10/15,Feb 18 2019,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE24706,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE249619,Divergent Epigenetic and Transcriptomic Remodelling during Monocyte Subset Differentiation in Systemic Lupus Erythematosus [RNA-seq],Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL28038,SLE=0; control=0; other/unclear=57; total=57,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,blood; T cell; monocyte,yes,yes,yes,Annals of the rheumatic diseases,24.0,2025,0,2024/10/30,Feb 03 2025,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE249619,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification; manual inclusion override: title and design identify bulk RNA-seq despite integration with external single-cell data
GSE250023,Impaired innate and adaptive immune responses to BNT162b2 SARS-CoV-2 vaccination in systemic lupus erythematosus,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL28038,SLE=0; control=0; other/unclear=75; total=75,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,blood; T cell; monocyte,yes,yes,yes,JCI insight,6.8,2025,1,2024/03/01,Mar 09 2024,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE250023,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification; manual inclusion override: design specifies whole-blood bulk mRNA-seq; single-cell analysis is described separately
GSE27427,Transcriptional profiles of pediatric SLE neutrophils and Healthy neutrophils cultured with SLE sera or Interferon,Homo sapiens,expression array,Expression profiling by array,GPL6106,SLE=0; control=0; other/unclear=47; total=47,low,0,human; total samples >=20; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,blood; neutrophil,yes,no,no,Science translational medicine,15.6,2025,6,2011/03/10,Jan 18 2013,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE27427,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE277400,Therapeutic JAK1 inhibition reverses lupus nephritis in a mouse model and demonstrates transcriptional changes consistent with human disease,Mus musculus,expression array,Expression profiling by array,GPL16570,SLE=0; control=0; other/unclear=48; total=48,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Lupus Nephritis,kidney; urine; T cell,yes,yes,yes,ACR open rheumatology,2.9,2025,0,2025/09/29,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE277400,2026-06-25,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE288976,Differences between human male and female neutrophils with respect to which RNAs are present in polysomes,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL18573,SLE=0; control=0; other/unclear=34; total=34,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed; mixed disease cohort unclear,matched Systemic Lupus Erythematosus,blood; neutrophil,yes,yes,yes,bioRxiv : the preprint server for biology,,,1,2025/05/08,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288976,2026-06-25,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE290137,Epidermal IFN-κ drives cutaneous lupus and systemic immune activation,Mus musculus,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL34290,SLE=0; control=0; other/unclear=21; total=21,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,kidney; T cell,yes,yes,yes,"Arthritis & rheumatology (Hoboken, N.J.)",10.9,2024,0,2025/08/11,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE290137,2026-06-25,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE290531,Mesenchymal Stem Cells relieved Systemic Lupus Erythematosus via CCL2 dependent macrophage polarization,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,SLE=0; control=0; other/unclear=4; total=4,low,0,human; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,PBMC; monocyte,no,yes,yes,,,,0,2026/06/01,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE290531,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE299540,Autoimmunity-associated DIORA1 binds the MRCK family of serine/threonine kinases and controls cell motility,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL34284,SLE=0; control=0; other/unclear=24; total=24,low,0,human; total samples >=20; SLE/control groups unclear; no SLE samples parsed; mixed disease cohort unclear,matched Systemic Lupus Erythematosus,,yes,yes,no,Proceedings of the National Academy of Sciences of the United States of America,9.5,2025,0,2025/09/08,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE299540,2026-06-25,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE299922,A recombinant TACI-Fc fusion protein targets IgA plasma cells in a mouse model of systemic lupus erythematosus,Mus musculus,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL34290,SLE=0; control=0; other/unclear=58; total=58,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,kidney; urine,yes,yes,yes,,,,0,2026/05/14,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE299922,2026-06-25,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE30153,B cell signature during inactive systemic lupus,Homo sapiens,expression array,Expression profiling by array,GPL570,SLE=0; control=0; other/unclear=26; total=26,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched SLE in disease context,B cell,yes,no,yes,PloS one; EMBO molecular medicine,7.9,2025,15,2011/06/23,Aug 23 2019,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE30153,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE302297,ANGPTL3 in podocytes contributes to pathogenesis of lupus nephritis by activating MSR1 in macrophage,Mus musculus,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24247,SLE=0; control=0; other/unclear=12; total=12,low,0,human; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,kidney,yes,yes,yes,"Kidney diseases (Basel, Switzerland)",6,2025,0,2026/04/01,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE302297,2026-06-25,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE302559,Transcriptomic points of departure for 6PPD-Quinone derived from human Caco-2 and HepG2 cells,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,SLE=0; control=0; other/unclear=72; total=72,low,0,human; total samples >=20; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,T cell,yes,yes,no,Toxicology in vitro : an international journal published in association with BIBRA,6,2025,0,2025/08/15,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE302559,2026-06-25,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE302798,The pro-inflammatory cytokines IFN-α and TNF-α inhibit extravillous trophoblast invasion,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL34284,SLE=0; control=0; other/unclear=9; total=9,low,0,human; clinical metadata mentioned; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,,no,yes,yes,,,,0,2026/05/08,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE302798,2026-06-25,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE306223,Effects of Acute and Chronic Type I Interferon Stimulation on Human Cardiomyocytes,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL34281,SLE=0; control=0; other/unclear=12; total=12,low,0,human; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,kidney,yes,yes,yes,,,,0,2025/08/29,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE306223,2026-06-25,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE306682,Transcription factor Etv3 controls the tolerogenic function of dendritic cells (RNA-seq of Etv3 KO GM-DCs),Mus musculus,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24247,SLE=0; control=0; other/unclear=5; total=5,low,0,human; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,T cell,yes,yes,no,,,,0,2026/01/13,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE306682,2026-06-25,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE310054,A Neutrophil–Mesangial Cell Axis Promotes Glomerular Injury in Lupus Nephritis,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL34284,SLE=0; control=0; other/unclear=20; total=20,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Lupus Nephritis,kidney; neutrophil,yes,yes,yes,Annals of the rheumatic diseases,24.0,2025,0,2026/03/10,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE310054,2026-06-25,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE311014,Cytokine-driven glycosphingolipid metabolism modulates endoplasmic reticulum calcium homeostasis in primary human renal mesangial cells,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,SLE=0; control=0; other/unclear=27; total=27,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Lupus Nephritis,kidney,yes,no,yes,Frontiers in immunology,7.0,2025,0,2025/11/25,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE311014,2026-06-25,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE312190,A highly prevalent lupus risk haplotype increases IRF7-dependent induction of IFN-alpha enhancing antiviral defense and exacerbating autoimmunity,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL34284,SLE=0; control=0; other/unclear=24; total=24,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,monocyte,yes,yes,yes,,,,0,2026/07/09,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE312190,2026-08-01,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE312680,PARN-Driven Alternative Polyadenylation Regulates Immunoglobulin Homeostasis in Antibody-Secreting Cells,Mus musculus,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL17021,SLE=0; control=0; other/unclear=4; total=4,low,0,human; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,B cell,yes,yes,no,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",14.3,2024-2025,1,2026/07/15,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE312680,2026-08-01,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE315626,Blood-brain barrier disrupting stimuli induce production of extracellular vesicles with distinct protein cargoes and functionality,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,SLE=0; control=0; other/unclear=30; total=30,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,blood,yes,yes,yes,,,,0,2026/01/17,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE315626,2026-06-25,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE32591,Expression data from human with lupus nephritis (LN),Homo sapiens,expression array,Expression profiling by array,GPL14663,SLE=0; control=0; other/unclear=93; total=93,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Lupus Nephritis,kidney,no,yes,yes,"Journal of immunology (Baltimore, Md. : 1950)",3.4,2024,142,2012/06/28,Nov 29 2012,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE32591,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE326619,JMJD1C-mediated epigenetic control of autoimmunity and HIT antibody production,Mus musculus,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL21626,SLE=0; control=0; other/unclear=16; total=16,low,0,human; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,blood; B cell,yes,yes,no,,,,0,2026/04/14,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE326619,2026-06-25,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE327681,JMJD1C-mediated epigenetic control of autoimmunity and HIT antibody production [RNA-seq],Mus musculus,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL21626,SLE=0; control=0; other/unclear=12; total=12,low,0,human; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,blood; B cell,yes,yes,no,,,,0,2026/04/14,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE327681,2026-06-25,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE336950,Epstein-Barr Virus Induced B cell Methionine Dependency is a Targetable Metabolic Vulnerability,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL15520,SLE=0; control=0; other/unclear=12; total=12,low,0,human; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,blood; B cell; T cell,yes,yes,no,,,,0,2026/07/04,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE336950,2026-08-01,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE36700,Gene expression profiles in synovial biopsies from patients with arthritis,Homo sapiens,expression array,Expression profiling by array,GPL570,SLE=0; control=0; other/unclear=25; total=25,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed; mixed disease cohort unclear,matched Systemic Lupus Erythematosus,B cell; T cell,no,yes,yes,Arthritis and rheumatism; PloS one,6,2025,35,2012/03/27,Aug 09 2019,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE36700,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE36941,Restoration of regulatory and effector T cell balance and B cell homeostasis in systemic lupus erythematosus patients through vitamin D supplementation,Homo sapiens,expression array,Expression profiling by array,GPL10558; GPL6947,SLE=0; control=0; other/unclear=20; total=20,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,B cell; T cell,no,yes,yes,Arthritis research & therapy,5.4,2025,0,2012/03/30,Aug 16 2018,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE36941,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
