accession,title,summary,organism,technology,geo_study_type,gpl_accessions,gpl_titles,sample_count,sample_count_confidence,score,score_reason,ra_relevance,tissue,case_control_hint,treatment_hint,clinical_info_hint,processed_data_hint,publication_date,last_update_date,url,search_date,notes
GSE134087,Analysis of differential expression profiles of Long noncoding RNA in peripheral blood of patients with active rheumatoid arthritis,"we studied the expression profile of lncRNA in peripheral blood of patients with active RA LncRNA and mRNA expression in peripheral blood from two activity RA patients and two healthy donors were analyzed with microarray profiling. peripheral blood of five active RA patients and five healthy control members were collected. Quantitative real-time PCR was further used to screen and verify the expression of lncRNA to verify the expression of the selected lncRNA; perform bioinformatics analysis to study the potential function of the differentially expressed genes, construct a receiver operating characteristic (ROC) curve to evaluate the clinical diagnostic value of the identified lncRNA, and use correlation analysis to explore the relationship between aberrantly expressed lncRNA that may have diagnostic value and clinical indicators.",Homo sapiens,expression array,Expression profiling by array,GPL16956,,RA=4; control=0; total=4,medium,75,human; RA samples clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood,yes,yes,yes,yes,2020/06/10,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE134087,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE140036,Microarray analysis of the synovial membrane of rheumatoid arthritis patients undergoing anti-TNF therapy,"Synovial biopsies of Rheumatoid Arthritis patients were obtained at week 20 of anti-TNF therapy. The clinical response to therapy was determined comparing the DAS28 at this time point with the baseline DAS28, using the EULAR response criteria. Gene expression profiles of patients responding to anti-TNF therapy were compared to non-responders and different genes, pathways and deconvoluted cell types were found to be differential between both groups of rheumatoid arthritis patients.",Homo sapiens,expression array,Expression profiling by array,GPL8234,,RA=11; control=0; total=11,medium,75,human; RA samples clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium,no,yes,yes,yes,2020/06/30,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE140036,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE145204,Transcriptional responses to TNF following HFl treatment of primary rheumatoid arthritis fibroblast like synoviocytes (RA-FLS),We report the effects of Hfol on TNF induction of inflammatory genes in wild type cells versus cells depleted of GCN2 RNA-seq analysis of primary rheumatoid arthritis fibroblast like synoviocytes (RA-FLS) treated with TNFa in the presence or absence of Halofuginone (HF).,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL16791,,RA=14; control=0; total=14,medium,75,human; RA samples clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovial fibroblast,no,yes,yes,yes,2020/03/22,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE145204,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE150466,Neutrophil extracellular traps mediate articular cartilage damage and enhance the immunogenicity of cartilage components in rheumatoid arthritis,This study invesigates the effects of neutrophil extracellular traps (NETs) on articular cartilage degredation and resulting autoimmune responses in rheumatoid arthritis.,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL21290,,RA=4; control=0; total=4,medium,75,human; RA samples clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium; synovial fibroblast,no,yes,yes,yes,2020/08/10,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE150466,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE151897,RHEUMATOID ARTHRITIS SYNOVIAL MICROENVIRONMENT INDUCES METABOLIC AND FUNCTIONAL ADAPTATIONS IN DENDRITIC CELLS,"Rheumatoid Arthritis (RA) is a chronic autoimmune disease which causes degradation of cartilage and bone. It is well appreciated that the pathogenic hallmark of RA is the mass influx of inflammatory cells into the joint. However, the role dendritic cells (DC) may play in this inflammatory milieu is still relatively unexplored. Moreover, the contribution this unique synovial microenvironment has on DC function and maturation is still unknown. Using monocyte-derived DC (MoDC), we established an in vitro model to recapitulate the synovial microenvironment to explore DC maturation. MoDC treated with conditioned media from ex vivo synovial tissue biopsy cultures (ECM) have increased expression of proinflammatory cytokines, chemokines and adhesion molecules. ECM treated DC have increased expression of CD83 and CCR7 and decreased expression of CCR5 and phagocytic capacity, suggestive of heightened DC maturation. ECM induced maturation is concomitant with altered cellular bioenergetics, whereby increased expression of glycolytic genes and increased glucose uptake are observed in ECM treated DC. Collectively, this results in a metabolic shift in DC metabolism in favor of glycolysis. These adaptations are in-part mediated via STAT3 as demonstrated by decreased expression of proinflammatory cytokines and glycolytic genes in ECM treated DC in response to STAT3 inhibition. Finally, to translate this data to a more in vivo clinically relevant setting, we interrogated a previously published synovial DC dataset and identified enhanced expression of glycolytic genes in synovial DC compared to DC in circulation. Collectively, our data suggests that the synovial microenvironment in RA contributes to DC maturation and metabolic reprogramming.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL18573,,RA=9; control=0; total=9,medium,75,human; RA samples clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium; blood; PBMC; monocyte; T cell,yes,yes,yes,yes,2020/11/05,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE151897,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE154988,Properties of PD1+ B cells in Rheumatoid Arthritis (RA) Patients,"We study a new pathogenic, glycolytic PD1+ B cell population in sites of inflammation of patients with Rheumatoid Arthritis (RA).",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL18573,,RA=10; control=0; total=10,medium,75,human; RA samples clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,B cell,no,no,yes,yes,2020/09/30,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE154988,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE195557,TNFR2 is critical for TNF-induced rheumatoid arthritis fibroblast-like synoviocyte inflammation,"Objectives: TNF-induced activation of fibroblast-like synoviocytes (FLS) is a critical determinant for synovial inflammation and joint destruction in rheumatoid arthritis (RA). The detrimental role of TNF-receptor 1 (TNFR1) has thoroughly been characterized. The contributions of TNFR2, however, are largely unknown. This study was performed to delineate the role of TNFR2 in human FLS activation. Methods: TNFR2 expression in synovial tissue samples was determined by immunohistochemistry. Expression of TNFR2 was silenced using RNAi or CRISPR/Cas9 technologies. Global transcriptional changes were determined by RNA-seq. QPCR, ELISA and immunoblotting were used to validate RNA-seq results and to uncover pathways operating downstream of TNFR2 in FLS. Results. TNFR2 expression was increased in RA when compared to OA synovial tissues. In particular, RA-FLS demonstrated higher levels of TNFR2 when compared to OA-FLS. TNFR2 expression in RA-FLS correlated with RA disease activity, synovial T- and B-cell infiltration. TNF and IL1 were identified as inflammatory mediators that upregulate TNFR2 in RA-FLS. Silencing of TNFR2 in RA-FLS markedly diminished the TNF-induced expression of inflammatory cytokines and chemokines, including CXCR3-binding chemokines and the B-cell activating factor TNFSF13B. Immunobiochemical analyses revealed that TNFR2-mediated expression of inflammatory mediators critically depends on STAT1. Conclusion: Our results define a critical role for TNFR2 in FLS-driven inflammation and unfold its participation in the unresolved course of synovial inflammation in RA.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL21290,,RA=16; control=0; total=16,medium,75,human; RA samples clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium; synovial fibroblast; B cell,yes,yes,yes,yes,2022/04/26,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE195557,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE216181,The role of macrophages extracellular traps on the biologic behaviors of FLSs from patients with RA,"Rheumatoid arthritis (RA) is an autoimmune disease characterized by chronic inflammatory in joints. Macrophages are abundant in synovial tissue and fluid of RA. Macrophages extracellular traps (METs) are induced from macrophages and may generate a stable autoantigen-DNA complexes, leading to the generation of autoantibodies and development of autoimmunity. We aimed to investigate the role of METs on the biologic behaviors of FLSs from patients with RA. RA-FLS from 3 independent RA patients were treated with METs, and performed whole transcriptome sequencing on MET-treated and untreated groups in a total of 6 groups. Further, we performed bioinformatic analysis on the sequencing results (Novogene, China). The transcriptome was first explored for differentially expressed genes and the main results were visualized with a heatmap. Next, GO and KEGG enrichment analysis were performed on the differential genes. The results were visualized using dot plots to explore which functions of RA-FLS may be affected by MET and the potential pathways that affect RA-FLS function",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,,RA=6; control=0; total=6,medium,75,human; RA samples clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium; synovial fibroblast; macrophage,no,yes,yes,yes,2022/10/25,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE216181,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE217012,"MYD88 dimerization controls the proliferative, invasive, and pro-inflammatory responses of synovial fibroblasts from rheumatoid arthritis patients","Purpose: We analyzed RNA-seq from rheumatoid arthritis synovial fibroblats and osteoarthritis syniovial fibroblast patients. Our goal was to evaluate the gene expression signatures after treatment with the MyD88 dimerization onhibitor ST2825 and identify its therapeutic potential. Methods: We analyzed bulk RNA-seq from RA synovial fibroblasts in diferent conditions: Untreated, ST2825-treated, LPS-treated, LPS+ST2825-treated. Aditionally, we analyzed bulk RNA-seq from OA synovial fibroblatss as a control. Collection of RNA was performed after 24 h of treatment and samples were sequenced to determine transcriptional changes and regulated processes. Results: paired-end reads were mapped to the homo sapiens GRCh37 genome assembly. RNA levels were normalized by RPKM and student's t-test. Conclusion: The aggressiveness of the RA SFs, in terms of their proliferation, invasiveness, and increased expression of pain and inflammation mediators was decreased by ST2825. Our data strongly suggest that targeting MyD88 dimerization could mitigate joint inflammation in RA SFs.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676; GPL30173,,RA=15; control=0; total=15,medium,75,human; RA samples clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovial fibroblast,yes,yes,yes,yes,2023/09/27,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE217012,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE223325,Rheumatoid Arthritis macrophages are primed for inflammation and display bioenergetic and functional alterations,To investigate the pro-inflammatory and metabolic function of Rheumatoid Arthritis monocyte derived macrophages RNA sequencing was perfomed on polarised healthy and Rheumatoid Arthritis monocyte-derived macrophages,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL18573,,RA=18; control=0; total=18,medium,75,human; RA samples clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood; PBMC; macrophage; monocyte,yes,yes,yes,yes,2023/01/20,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE223325,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE247226,BRD3 regulates the inflammatory and stress response in rheu-matoid arthritis synovial fibroblasts,"Individual functions of members of the bromodomain (BRD) and extra-terminal (BET) protein family underlying the anti-inflammatory effects of BET inhibitors in rheumatoid arthritis (RA) are incompletely understood. Here we aimed to analyze regulatory functions of BRD3, an under-studied member of the BET protein family, in RA synovial fibroblasts (FLS). BRD3 was silenced in FLS prior to stimulation with TNF. Alternatively, FLS were treated with I-BET. Transcriptomes were analyzed by RNA sequencing (RNAseq), followed by pathway enrichment analysis. We confirmed results for selective target genes by Real-time PCR, ELISA and Western blotting. BRD3 regulates the expression of several cytokines and chemokines in FLS, and positively correlates with inflammatory scores in the RA synovium. In addition, RNAseq pointed to a profound role of BRD3 in regulating FLS proliferation, metabolic adaption, and response to stress, including oxidative stress, and autophagy. BRD3 acts as an upstream regu-latory factor that integrates the response to inflammatory stimuli and stress conditions in FLS and executes many functions of BET proteins that have previously identified using pan-BET inhibitors.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,,RA=12; control=0; total=12,medium,75,human; RA samples clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium; synovial fibroblast,yes,yes,yes,yes,2023/11/30,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE247226,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE253495,Human CD14+ monocytes from rheumatoid arthritis patients before and after a 3-month period of Upadacitinib treatment,Janus Kinase (JAK) inhibitors are small molecules that reversibly inhibit JAK activity and their subsequent intracellular signaling and have become the treatment of choice for diseases with an inflammatory or immune basis. We explored the molecular impact of the JAK inhibitor Upadacitinib on the gene expression of human peripheral blood monocytes from three seropositive rheumatoid arthritis patients. The three patients showed disease improvementatthree months follow-up.,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL23227,,RA=6; control=0; total=6,medium,75,human; RA samples clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood; PBMC; monocyte,no,yes,yes,yes,2024/04/04,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE253495,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE266310,Effects of methotrexate and tofacitinib on gene expression of activated rheumatoid arthritis fibroblast-like synoviocytes,"Activated fibroblast-like synoviocytes (FLS) are drivers of synovitis and structural joint damage in rheumatoid arthritis (RA). Despite the use of disease-modifying drugs, only about 50% of RA patients reach remission in real-world settings. We used an unbiased approach to investigate the effects of standard-of-care methotrexate (MTX) and a Janus kinase inhibitor, tofacitinib (TOFA), on gene expression in RA-FLS, in order to identify untargeted disease mediators.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL18573,,RA=9; control=0; total=9,medium,75,human; RA samples clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovial fibroblast,yes,yes,yes,yes,2024/10/04,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE266310,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE268214,Effects of NCL Knockdown on Fibroblast-Like Synoviocytes,"Rheumatoid arthritis (RA) is a chronic autoimmune disease characterized by systemic inflammation, synovial hyperplasia, and the destruction of bone and cartilage. Despite the use of various immunosuppressive disease-modifying antirheumatic drugs (DMARDs), a considerable proportion of RA patients remain symptomatic. As RA progresses, fibroblast-like synoviocytes (FLSs) undergo a phenotypic transition to an aggressive state, making them attractive non-immune cellular targets for RA treatment. However, there are currently no clinically available therapies that selectively ablate RA-FLSs due to the lack of specific molecular targets. Our research focuses on the knockdown of the nucleolin (NCL) gene in RA-FLSs. NCL is expressed in the cell of RA-FLSs and plays a crucial role in their aggressive transition. By specifically knocking down NCL, we observed significant inhibition of the harmful phenotypes exhibited by RA-FLSs.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL20301,,RA=6; control=0; total=6,medium,75,human; RA samples clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium; synovial fibroblast,yes,yes,yes,yes,2024/12/31,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE268214,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE276473,DLX4 regulates the invasiveness of Rheumatoid Arthritis Fibroblast-Like Synoviocytes and a cancer transcriptomic signature,"Background: The fibroblast-like synoviocyte (FLS) has a central role in rheumatoid arthritis (RA) pathogenesis and its invasive behavior strongly correlates with disease severity and joint damage. Yet, the regulation of FLS invasiveness is incompletely understood. Distal-less homeobox 4 (DLX4) is a transcription factor implicated in cancer cell invasion and metastasis, and we considered that it might also be involved in the regulation of FLS phenotypes. Results: siRNA knockdown of DLX4 significantly reduced RA FLS invasiveness (P=0.028) and migration in the scratch/wound healing assay (P=0.008). RNA sequencing analyses revealed that DLX4 knockdown significantly affected processes and pathways implicated in diverse types of cancer and in cancer biology and cell invasion, including cell cycle, DNA replication, transcription, p53 signal transduction, RHO GTPase signaling, regulation of cytokinesis, as well as response to oxygen levels and to oxidative stress. HMOX1 and SOD2 were among the genes with the most significantly increased expression, while CPNE3 and HADHA were among those with the most significantly decreased expression in FLS knocked down for DLX4 compared with controls. Conclusion: We describe a new role for DLX4 in the regulation of RA FLS behaviors relevant to disease pathogenesis and joint damage, and identify a new transcriptomic signature regulated by this gene. These findings raise the possibility that DLX4, or one of its target genes and pathways may become a target for treatment",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,,RA=6; control=0; total=6,medium,75,human; RA samples clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium; synovial fibroblast; T cell,yes,yes,yes,yes,2024/09/05,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE276473,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE288373,Tofacitinib Repairs GM-CSF-induced RA Mitochondrial Dysfunction,"Rheumatoid arthritis (RA) is an autoimmune disease in which synovial tissue macrophages (MΦs) are the primary producer of inflammatory factors. RA synovial MΦ expansion is strongly linked to ultrasound-detected hypertrophy and pathology, and their frequency is 25-fold upregulated during a flare. Consequently, infiltrating MΦs sense and respond to the RA synovial tissue's high energy and oxygen demands. Thus, understanding how hypoxic RA MΦs experience changes in metabolic activity and mitochondrial remodeling will unravel novel therapeutic strategies. Intriguingly, we found that granulocyte-macrophage colony-stimulating factor (GM-CSF) stimulates an RA MΦ inflammatory profile associated with mitochondrial oxidative stress. This study utilized RNA-seq to investigate the effect of GM-CSF treatment on global gene expression changes in MΦs derived from the peripheral blood of rheumatoid arthritis patients.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676; GPL34284,,RA=6; control=0; total=6,medium,75,human; RA samples clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium; blood; PBMC; macrophage,no,yes,yes,yes,2026/04/08,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288373,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE300831,RNA-seq of Immortalized RAFLS treated with TNFα for 24h and DMSO or celastrol derivatives for 4h in human,"This experiment is to explore the mechanism of anti-inflammatory activity of celastrol derivatives on Rheumatoid arthritis fibroblast-like synoviocytes (RAFLS), compared with celastrol. Immortalized RAFLS cells were simulated with 1 ng/mL TNFα for 24h, and exposed to different treatments during the last 4 hours. Total RNA was extracted with Trizol. Transcriptomic profiling was performed with an in-house, proprietary method that captures the 3’ primed end of mRNA molecules for sequencing. The data was processed with a custom script. Briefly, sequencing reads were demultiplexed based on sample barcode with idemux, trimmed with cutadapt to remove polyA, adaptor and low-quality sequences, mapped to human GRCh38 reference assembly with STAR aligner. PCR duplicates were removed based on UMI with UMI-tools. Htseq-count was used to generate read counts. The count matrix was analyzed with DESeq2 package to determine differential genes. Enrichment and GSEA was performed with clusterprofiler.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL34284,,RA=12; control=0; total=12,medium,75,human; RA samples clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovial fibroblast,yes,yes,yes,yes,2025/09/01,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE300831,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE309533,snoRNA Snord3 promotes rheumatoid arthritis by epigenetic regulation of ESM1 in fibroblast-like synoviocytes in mice,"Rheumatoid arthritis (RA) is a chronic autoimmune disease characterized by systemic inflammation, synovial hyperplasia, and the destruction of bone and cartilage. Despite the use of various immunosuppressive disease-modifying antirheumatic drugs (DMARDs), a considerable proportion of RA patients remain symptomatic. As RA progresses, fibroblast-like synoviocytes (FLSs) undergo a phenotypic transition to an aggressive state, making them attractive non-immune cellular targets for RA treatment. However, there are currently no clinically available therapies that selectively ablate RA-FLSs due to the lack of specific molecular targets. Our research focuses on the knockdown and overexpression of the SNORD3 gene in RA-FLSs. SNORD3 is expressed in the cell of RA-FLSs and plays a crucial role in their aggressive transition. By specific knockout or overexpression of NCL, we observed significant aggressive transformations of RA-FLS.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL18460,,RA=11; control=0; total=11,medium,75,human; RA samples clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium; synovial fibroblast,yes,yes,yes,yes,2025/09/30,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE309533,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE314078,Transcriptional Profiling of Synovial Macrophages using Minimally Invasive Ultrasound-Guided Synovial Biopsies in Rheumatoid Arthritis [dataset1],Pilot study of the feasibility and clinical significance of whole tissue and cell-type-specific transcriptional profiling of cells from synovial biopsy in Rheumatoid Arthritis (RA),Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL18573,,RA=18; control=0; total=18,medium,75,human; RA samples clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium; macrophage,no,no,yes,yes,2025/12/22,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE314078,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE324393,Polygonum aviculare L. and Its Active Compound Myricetin Inhibit Rheumatoid Arthritis by Targeting Yes,"Rheumatoid arthritis (RA) is a chronic autoimmune disease characterized by synovial inflammation and joint destruction. In RA, fibroblast-like synoviocytes (FLS) acquire a pathogenic phenotype in response to inflammatory cytokines, promoting synovial inflammation and tissue destruction. Thus, targeting pathological FLS activation has emerged as a promising therapeutic strategy. Herein, we aimed to identify novel plant-derived candidates capable of suppressing synovial inflammation. Screening of 327 plants identified Polygonum aviculare L. (PA) as a potent inhibitor of IL-17-mediated synovial inflammation. PA attenuated IL-17-, TNF-α-, and IL-1β-mediated pathological responses in RA patient-derived FLS (RA-FLS) and alleviated clinical symptoms and histopathological changes in an animal model. Transcriptomic analysis revealed that PA reversed IL-17-induced gene expression and suppressed inflammation-related pathways, with NF-κB emerging as a central regulatory axis. UHPLC-based compound profiling combined with AI-driven bioactivity prediction identified myricetin as an active compound of PA with anti-inflammatory and NF-κB inhibitory activity. Myricetin exerted anti-RA effects in RA-FLS, and both PA and myricetin attenuated synovial inflammation in a 3D synovium-like micromass culture system. PA and myricetin targeted Yes and inhibited its activity, with subsequent suppression of SHP-2 phosphorylation and downstream signaling pathways. Notably, myricetin directly bound to the ATP-binding site of Yes. These findings demonstrate that PA and myricetin inhibit pathogenic responses through the Yes–SHP-2 signaling axis and highlight their potential as plant-derived therapeutic candidates for RA.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,,RA=9; control=0; total=9,medium,75,human; RA samples clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium; synovial fibroblast,yes,yes,yes,yes,2026/06/10,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE324393,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE47726,Genome-wide transcriptional analysis of synovial tissue gene expression associated with the response to anti-TNF therapy in Rheumatoid Arthritis,Synovial biopsies of Rheumatoid Arthritis patients with active disease were obtained prior to anti-TNF therapy. Clinical response to anti-TNF treatment was measured 20 weeks later using the EULAR response criteria. Gene expression profiles of patients responding to anti-TNF therapy were compared to non-responders and several genes were found to be differentially expressed between both groups of Rheumatoid Arthritis patients.,Homo sapiens,expression array,Expression profiling by array,GPL8234,,RA=11; control=0; total=11,medium,75,human; RA samples clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium,no,yes,yes,yes,2019/07/26,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE47726,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE48823,RF003-V1: The expression of ERAP2 and LST1 distinguishes between Glucocorticoid-Responders and Non-Responders in Rheumatoid Arthritis,"Objective: Glucocorticoids (GC) have been a cornerstone of Rheumatoid arthritis (RA)-therapy for the last decades. However, about a third of RA-patients do not respond adequately. As monocytes and T-cells play an important role in RA-pathogenesis, the differential gene expression of these cells before pulse therapy with methylprednisolone was evaluated in order to find predictors for clinical response to GC. Methods: CD14-positive and CD4-positive cells were isolated by MACS sorting from five GC-Responders meeting the European League against Rheumatism (EULAR) response criteria and five Non-Responders. The clinical response was measured by disease activity score (DAS28) at the end of pulse therapy (3x 1000mg Methylprednisolone) at day 5. Cellular RNA was hybridized to Agilent 4x44K microarray chips and differentially expressed genes were calculated by MAANOVA. False discovery rate (FDR) was used as multiple testing correction. Selected genes were verified by quantitative real-time PCR (qPCR). Results: Eight genes were differentially regulated in CD14-cells and 4 genes in CD4-T-cells of GC-Responders compared to Non-Responders. Up-regulation of ERAP2 in monocytes and CD4-cells and LST1 and FAM26F in CD4-Tcells of GC-Responders was verified by qPCR and correlated with DAS28 at day 5 and (for LST1 and FAM26F) with smoking. Conclusion: As ERAP2 and LST1 are implicated in autoimmune disease, their increased expression in GC-Responders before GC-therapy may constitute not only a new tool for prediction of the clinical response to GC in RA, but also warrants further investigation to elucidate their role in the inflammatory process of RA.",Homo sapiens,expression array,Expression profiling by array,GPL13384,,RA=19; control=0; total=19,medium,75,human; RA samples clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood; PBMC; monocyte; T cell,no,yes,yes,yes,2017/11/11,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48823,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE59526,Affymetrix Chip data of the transcriptome of human clinical study for acupuncture mechanisms on rheumatoid arthritis,"We report the application of Affymetrix technology for high-throughput mRNA profiling of rheumatoid arthritis (RA) patients, with acupuncture+Methotrexate and Methotrexate treatments. Clinical Trial ID: https://clinicaltrials.gov/study/NCT01619176",Homo sapiens,expression array,Expression profiling by array,GPL570,,RA=18; control=0; total=18,medium,75,human; RA samples clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood; PBMC,no,yes,yes,yes,2023/11/06,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE59526,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
