accession,title,organism,technology,geo_study_type,gpl_accessions,sample_count,sample_count_confidence,score,score_reason,ra_relevance,tissue,case_control_hint,treatment_hint,clinical_info_hint,source_journals,source_journal_impact_factor,source_journal_impact_factor_year,gse_reuse_total_count,publication_date,last_update_date,url,search_date,manual_review,notes
GSE93272,Whole blood gene expression of rheumatoid arthritis,Homo sapiens,expression array,Expression profiling by array,GPL570,RA=250; control=0; total=250,medium,75,human; RA samples clear; RA/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood; monocyte,yes,yes,yes,Nature communications,18.1,2025,97,2018/07/16,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE93272,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE93777,Multi-omics monitoring of drug response in rheumatoid arthritis.,Homo sapiens,expression array,Expression profiling by array,GPL570,RA=250; control=0; total=250,medium,75,human; RA samples clear; RA/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood; monocyte,yes,yes,yes,Nature communications,18.1,2025,17,2018/07/16,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE93777,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE109448,RNA-seq analysis of freshly isolated synovial fibroblast subsets from patients with rheumatoid arthritis,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL18573,RA=25; control=0; total=25,medium,70,human; RA samples clear; RA/control counts shown; total samples >=20; tissue/source clear,matched rheumatoid arthritis,synovial fibroblast; blood,no,yes,no,Nature communications; Science advances,18.1,2025,1,2018/01/19,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE109448,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE109450,Functionally distinct disease-associated fibroblast subsets in rheumatoid arthritis,Homo sapiens,expression array,Expression profiling by array,GPL16686; GPL18573,RA=118; control=0; other/unclear=132; total=250,medium,70,human; RA samples clear; RA/control counts shown; total samples >=20; tissue/source clear,matched rheumatoid arthritis,blood,no,yes,no,Nature communications; Science advances,18.1,2025,3,2018/01/19,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE109450,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE113156,Transcriptome change after tocilizumab therapy in rheumatoid arthritis patients,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL17303,RA=22; control=0; total=22,medium,70,human; RA samples clear; RA/control counts shown; total samples >=20; tissue/source clear,matched rheumatoid arthritis,PBMC; T cell,no,yes,no,Annals of the rheumatic diseases; Scientific reports,24.0,2025,1,2019/06/06,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE113156,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE190349,RNAseq of CD4 T cells from female Rheumatoid arthritis patients,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL11154,RA=24; control=0; total=24,medium,70,human; RA samples clear; RA/control counts shown; total samples >=20; tissue/source clear,matched rheumatoid arthritis,PBMC; T cell,no,yes,no,iScience,4.5,2025,2,2022/11/29,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190349,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE199490,PD-1 expressing CD4 and CD8 lymphocyte populations were compared to PD-1 negative CD4 and CD8 lymphocyte populations from 5 RA patients,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL18573,RA=39; control=0; other/unclear=8; total=47,medium,70,human; RA samples clear; RA/control counts shown; total samples >=20; tissue/source clear,matched rheumatoid arthritis,synovium; blood; PBMC; T cell; B cell,no,yes,no,Scientific reports,4.9,2025,1,2023/02/22,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE199490,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE200293,Additive efficacy of a novel bispecific anti-TNF/IL-6 NANOBODY compound in translational models of Rheumatoid Arthritis,Homo sapiens; Mus musculus,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24247; GPL24676,RA=98; control=0; other/unclear=56; total=154,medium,70,human; RA samples clear; RA/control counts shown; total samples >=20; tissue/source clear,matched rheumatoid arthritis,synovial fibroblast; blood; T cell,yes,yes,no,,,,0,2022/12/31,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE200293,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE201669,RNAseq of CD4 T cells from female Rheumatoid arthritis patients [NeumRA_CD4],Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL11154,RA=60; control=0; total=60,medium,70,human; RA samples clear; RA/control counts shown; total samples >=20; tissue/source clear,matched rheumatoid arthritis,PBMC; T cell,no,yes,no,Frontiers in immunology; Cells,7.0,2025,2,2023/09/06,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE201669,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE201670,RNAseq of CD14 T cells from female Rheumatoid arthritis patients [NeumRA_CD14],Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL11154,RA=59; control=0; total=59,medium,70,human; RA samples clear; RA/control counts shown; total samples >=20; tissue/source clear,matched rheumatoid arthritis,PBMC; T cell,no,yes,no,Frontiers in immunology,7.0,2025,1,2022/09/27,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE201670,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE202367,Effect of T cell supernatants or cytokines on synovial fibroblasts,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL15520,RA=46; control=0; total=46,medium,70,human; RA samples clear; RA/control counts shown; total samples >=20; tissue/source clear,matched rheumatoid arthritis,synovial fibroblast; blood; T cell,no,yes,no,Science translational medicine,15.6,2025,0,2022/05/08,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE202367,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE80785,Gene expressions of CD4+ T cells from patients with rheumatoid arthritis in each developmental stages,Homo sapiens,expression array,Expression profiling by array,GPL570,RA=24; control=0; total=24,medium,70,human; RA samples clear; RA/control counts shown; total samples >=20; tissue/source clear,matched rheumatoid arthritis,blood; T cell,no,yes,no,,,,1,2021/04/01,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE80785,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE103578,lncRNA and mRNA expression profiles in fibroblast-like synoviocytes from rheumatoid arthritis patients and trauma patients,Homo sapiens,expression array,Expression profiling by array,GPL15314,RA=3; control=0; other/unclear=3; total=6,medium,65,human; RA samples clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium; synovial fibroblast,no,no,yes,,,,7,2018/09/07,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE103578,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE106893,lncRNA and mRNA expression profiles associated with response to Tripterygium wilfordii Hook F in the treatment of rheumatoid arthritis,Homo sapiens,expression array,Expression profiling by array,GPL5175,RA=12; control=0; total=12,medium,65,human; RA samples clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood; PBMC,no,yes,yes,Clinical and translational medicine,7.9,2025,2,2017/11/15,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE106893,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE120785,"Gene expression from fibroblast-like synoviocytes (FLS) of three patients with rheumatoid arthritis (RA) that were cultured in four conditions: control medium (Basal), ATRA, TNF and ATRA+TNF.",Homo sapiens,expression array,Expression profiling by array,GPL21185,RA=8; control=0; total=8,medium,65,human; RA samples clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovial fibroblast,yes,yes,yes,,,,0,2019/12/09,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE120785,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE122616,lncRNA expression profiles inin fibroblast-like synoviocytes from rheumatoid arthritis patients and trauma patients,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL20795,RA=3; control=0; other/unclear=3; total=6,medium,65,human; RA samples clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium; synovial fibroblast,no,no,yes,,,,3,2020/11/01,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE122616,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE129934,"Lnc-ITSN1-2 promotes rheumatoid arthritis fibroblast-like synoviocytesproliferation and inflammation while represses apoptosis via positive regulation of IL-23R/JAK/STAT pathway, and correlates with increased disease risk and activity",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL20795,RA=4; control=0; total=4,medium,65,human; RA samples clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium; synovial fibroblast,yes,yes,yes,,,,1,2019/04/18,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE129934,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE132832,Impaired ATM Activation in B Cells Promotes Osteoclastogenic Cytokine Production and Bone Erosion in Patients with Rheumatoid Arthritis,Homo sapiens,expression array,Expression profiling by array,GPL570,RA=8; control=0; total=8,medium,65,human; RA samples clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood; B cell,yes,yes,yes,Science translational medicine,15.6,2025,0,2019/11/23,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE132832,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE134087,Analysis of differential expression profiles of Long noncoding RNA in peripheral blood of patients with active rheumatoid arthritis,Homo sapiens,expression array,Expression profiling by array,GPL16956,RA=4; control=0; total=4,medium,65,human; RA samples clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood,yes,yes,yes,Experimental and therapeutic medicine,2.2,2025,3,2020/06/10,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE134087,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE140036,Microarray analysis of the synovial membrane of rheumatoid arthritis patients undergoing anti-TNF therapy,Homo sapiens,expression array,Expression profiling by array,GPL8234,RA=11; control=0; total=11,medium,65,human; RA samples clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium,no,yes,yes,Arthritis research & therapy,5.4,2025,1,2020/06/30,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE140036,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE145204,Transcriptional responses to TNF following HFl treatment of primary rheumatoid arthritis fibroblast like synoviocytes (RA-FLS),Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL16791,RA=14; control=0; total=14,medium,65,human; RA samples clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovial fibroblast,no,yes,yes,,,,2,2020/03/22,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE145204,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE150466,Neutrophil extracellular traps mediate articular cartilage damage and enhance the immunogenicity of cartilage components in rheumatoid arthritis,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL21290,RA=4; control=0; total=4,medium,65,human; RA samples clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium; synovial fibroblast,no,yes,yes,JCI insight,6.8,2025,2,2020/08/10,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE150466,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE151897,RHEUMATOID ARTHRITIS SYNOVIAL MICROENVIRONMENT INDUCES METABOLIC AND FUNCTIONAL ADAPTATIONS IN DENDRITIC CELLS,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL18573,RA=9; control=0; total=9,medium,65,human; RA samples clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium; blood; PBMC; monocyte; T cell,yes,yes,yes,Clinical and experimental immunology; Frontiers in immunology,7.0,2025,0,2020/11/05,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE151897,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE154988,Properties of PD1+ B cells in Rheumatoid Arthritis (RA) Patients,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL18573,RA=10; control=0; total=10,medium,65,human; RA samples clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,B cell,no,no,yes,JCI insight,6.8,2025,0,2020/09/30,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE154988,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE195557,TNFR2 is critical for TNF-induced rheumatoid arthritis fibroblast-like synoviocyte inflammation,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL21290,RA=16; control=0; total=16,medium,65,human; RA samples clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium; synovial fibroblast; B cell,yes,yes,yes,"Rheumatology (Oxford, England)",4.4,2024-2025,0,2022/04/26,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE195557,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE216181,The role of macrophages extracellular traps on the biologic behaviors of FLSs from patients with RA,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,RA=6; control=0; total=6,medium,65,human; RA samples clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium; synovial fibroblast; macrophage,no,yes,yes,,,,0,2022/10/25,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE216181,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE217012,"MYD88 dimerization controls the proliferative, invasive, and pro-inflammatory responses of synovial fibroblasts from rheumatoid arthritis patients",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676; GPL30173,RA=15; control=0; total=15,medium,65,human; RA samples clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovial fibroblast,yes,yes,yes,Arthritis research & therapy; Communications biology,5.8,2025,0,2023/09/27,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE217012,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE223325,Rheumatoid Arthritis macrophages are primed for inflammation and display bioenergetic and functional alterations,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL18573,RA=18; control=0; total=18,medium,65,human; RA samples clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood; PBMC; macrophage; monocyte,yes,yes,yes,"Rheumatology (Oxford, England); Science advances",13.9,2025,1,2023/01/20,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE223325,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE247226,BRD3 regulates the inflammatory and stress response in rheu-matoid arthritis synovial fibroblasts,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,RA=12; control=0; total=12,medium,65,human; RA samples clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium; synovial fibroblast,yes,yes,yes,Biomedicines,4.5,2025,1,2023/11/30,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE247226,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE253495,Human CD14+ monocytes from rheumatoid arthritis patients before and after a 3-month period of Upadacitinib treatment,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL23227,RA=6; control=0; total=6,medium,65,human; RA samples clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood; PBMC; monocyte,no,yes,yes,Cellular and molecular life sciences : CMLS,6.2,2024-2025,1,2024/04/04,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE253495,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE266310,Effects of methotrexate and tofacitinib on gene expression of activated rheumatoid arthritis fibroblast-like synoviocytes,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL18573,RA=9; control=0; total=9,medium,65,human; RA samples clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovial fibroblast,yes,yes,yes,Arthritis research & therapy,5.4,2025,0,2024/10/04,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE266310,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE268214,Effects of NCL Knockdown on Fibroblast-Like Synoviocytes,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL20301,RA=6; control=0; total=6,medium,65,human; RA samples clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium; synovial fibroblast,yes,yes,yes,,,,1,2024/12/31,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE268214,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE276473,DLX4 regulates the invasiveness of Rheumatoid Arthritis Fibroblast-Like Synoviocytes and a cancer transcriptomic signature,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,RA=6; control=0; total=6,medium,65,human; RA samples clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium; synovial fibroblast; T cell,yes,yes,yes,Scientific reports,4.9,2025,0,2024/09/05,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE276473,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE288373,Tofacitinib Repairs GM-CSF-induced RA Mitochondrial Dysfunction,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676; GPL34284,RA=6; control=0; total=6,medium,65,human; RA samples clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium; blood; PBMC; macrophage,no,yes,yes,Cellular & molecular immunology,23.9,2025,0,2026/04/08,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE288373,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE300831,RNA-seq of Immortalized RAFLS treated with TNFα for 24h and DMSO or celastrol derivatives for 4h in human,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL34284,RA=12; control=0; total=12,medium,65,human; RA samples clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovial fibroblast,yes,yes,yes,,,,0,2025/09/01,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE300831,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE309430,Blood-Based Gene Signatures Associated with Therapeutic Response to Anti-TNF Therapy in Rheumatoid Arthritis: A Combined Meta-Analytical and Machine Learning Approach,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,RA=8; control=0; total=8,medium,65,human; RA samples clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched Rheumatoid Arthritis,blood,no,yes,yes,EULAR rheumatology open,6,2025,1,2026/07/01,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE309430,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE309533,snoRNA Snord3 promotes rheumatoid arthritis by epigenetic regulation of ESM1 in fibroblast-like synoviocytes in mice,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL18460,RA=11; control=0; total=11,medium,65,human; RA samples clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium; synovial fibroblast,yes,yes,yes,Science translational medicine,15.6,2025,0,2025/09/30,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE309533,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE314078,Transcriptional Profiling of Synovial Macrophages using Minimally Invasive Ultrasound-Guided Synovial Biopsies in Rheumatoid Arthritis [dataset1],Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL18573,RA=18; control=0; total=18,medium,65,human; RA samples clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium; macrophage,no,no,yes,,,,0,2025/12/22,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE314078,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE324393,Polygonum aviculare L. and Its Active Compound Myricetin Inhibit Rheumatoid Arthritis by Targeting Yes,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,RA=9; control=0; total=9,medium,65,human; RA samples clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched Rheumatoid Arthritis,synovium; synovial fibroblast,yes,yes,yes,,,,0,2026/06/10,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE324393,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE47726,Genome-wide transcriptional analysis of synovial tissue gene expression associated with the response to anti-TNF therapy in Rheumatoid Arthritis,Homo sapiens,expression array,Expression profiling by array,GPL8234,RA=11; control=0; total=11,medium,65,human; RA samples clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium,no,yes,yes,Frontiers in immunology; Arthritis research & therapy,7.0,2025,0,2019/07/26,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE47726,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE48823,RF003-V1: The expression of ERAP2 and LST1 distinguishes between Glucocorticoid-Responders and Non-Responders in Rheumatoid Arthritis,Homo sapiens,expression array,Expression profiling by array,GPL13384,RA=19; control=0; total=19,medium,65,human; RA samples clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood; PBMC; monocyte; T cell,no,yes,yes,Clinical and experimental rheumatology,3.2,2025,0,2017/11/11,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48823,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE59526,Affymetrix Chip data of the transcriptome of human clinical study for acupuncture mechanisms on rheumatoid arthritis,Homo sapiens,expression array,Expression profiling by array,GPL570,RA=18; control=0; total=18,medium,65,human; RA samples clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood; PBMC,no,yes,yes,,,,1,2023/11/06,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE59526,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE84074,Rheumatoid arthritis and response to LLDT-8: Fibroblast-like Synoviocytes,Homo sapiens,expression array,Expression profiling by array,GPL19640,RA=10; control=0; total=10,medium,65,human; RA samples clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium; synovial fibroblast,yes,yes,yes,Scientific reports,4.9,2025,1,2019/08/20,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE84074,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE89408,RNAseq study of synovial biopsies,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL11154,RA=218; control=0; total=218,medium,65,human; RA samples clear; RA/control counts shown; total samples >=20,matched rheumatoid arthritis,,yes,yes,no,"Journal of immunology (Baltimore, Md. : 1950); PloS one",3.4,2024,157,2017/06/19,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE89408,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE91079,Gene expression fluctuation in Abatacept treated Rheumatoid Arthritis patients between baseline and 6 months,Homo sapiens,expression array,Expression profiling by array,GPL4133,RA=19; control=0; total=19,medium,65,human; RA samples clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,blood,no,yes,yes,PloS one,2.8,2025,0,2020/07/24,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE91079,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE97165,RNAseq study of synovial biopsies after triple DMARD treatment,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL11154,RA=38; control=0; total=38,medium,65,human; RA samples clear; RA/control counts shown; total samples >=20,matched rheumatoid arthritis,,no,yes,no,PloS one,2.8,2025,6,2017/09/20,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE97165,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE99681,Expression data from RA-FLSs with PMPs,Homo sapiens,expression array,Expression profiling by array,GPL15207,RA=2; control=0; total=2,medium,65,human; RA samples clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear,matched rheumatoid arthritis,synovium; synovial fibroblast,no,yes,yes,,,,1,2017/06/06,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE99681,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE110008,Rheumatoid arthritis: aortic biopsies,Homo sapiens,expression array,Expression profiling by array,GPL571,RA=8; control=0; other/unclear=8; total=16,medium,60,human; RA samples clear; RA/control counts shown; clinical metadata mentioned,matched rheumatoid arthritis,,no,no,yes,PloS one,2.8,2025,2,2018/03/19,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE110008,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE112809,Treatment of rheumatoid arthritis patients with chaperonin 10,Homo sapiens,expression array,Expression profiling by array,GPL570,RA=8; control=0; total=8,medium,60,human; RA samples clear; RA/control counts shown; tissue/source clear,matched rheumatoid arthritis,blood; PBMC,no,yes,no,,,,0,2018/04/07,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE112809,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE118958,Expression data (U133 Plus 2.0) from fibroblast like synoviocytes from patients with rheumatoid arthritis (RA-FLS) stimulated by TL1A,Homo sapiens,expression array,Expression profiling by array,GPL570,RA=8; control=0; total=8,medium,60,human; RA samples clear; RA/control counts shown; tissue/source clear,matched rheumatoid arthritis,synovial fibroblast,yes,yes,no,Biomedical reports,2.5,2025,0,2018/08/24,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE118958,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE153378,Expression data (U133 Plus 2.0) from fibroblast like synoviocytes from patients with rheumatoid arthritis (RA-FLS) stimulated by FasL,Homo sapiens,expression array,Expression profiling by array,GPL570,RA=8; control=0; total=8,medium,60,human; RA samples clear; RA/control counts shown; tissue/source clear,matched rheumatoid arthritis,synovial fibroblast; T cell; B cell,yes,yes,no,Experimental and therapeutic medicine,2.2,2025,0,2020/06/30,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE153378,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
